failure_type,n,Op.Voltage_mean,Op.Voltage_delta,Op.Voltage_delta_pct,Op.Amperage_mean,Op.Amperage_delta,Op.Amperage_delta_pct,Op.Temperature_mean,Op.Temperature_delta,Op.Temperature_delta_pct,failure_group
0,832,225.0353267307692,0.0,0.0,25.14810471995192,0.0,0.0,80.61036296153847,0.0,0.0,Normal
1,210,226.81649903809523,1.7811723073260168,0.7915078637662075,25.558500523809528,0.41039580385760743,1.631915440259834,81.04703429523809,0.4366713336996213,0.5417061996209716,Subtle
2,239,226.8244388158996,1.789112085130398,0.7950360999412683,26.274506138075314,1.1264014181233932,4.479070811367079,80.34154411715481,-0.26881884438365944,-0.33347926309663267,Subtle
3,270,229.77401026666666,4.738683535897451,2.1057509524123654,24.85099080740741,-0.2971139125445106,-1.18145647894009,83.94168607777777,3.3313231162393038,4.132623888356357,Thermal
4,215,235.83805303720928,10.802726306440064,4.8004579829212215,25.824410153488376,0.6763054335364558,2.6892898732042054,83.34534422325581,2.734981261717337,3.392840772869706,High-Voltage
5,248,235.66458971774193,10.62926298697272,4.723375276846866,24.879460487903224,-0.2686442320486968,-1.068248422854549,80.25782625403225,-0.3525367075062178,-0.4373342267103092,High-Voltage
6,244,229.65126451229506,4.615937781525844,2.051205847803763,25.42042141393443,0.27231669398251057,1.082851757677233,82.99138631557378,2.3810233540353067,2.9537434971870327,Thermal
7,252,232.98705836904765,7.9517316382784315,3.533548156104322,25.402881706349206,0.2547769863972853,1.0131061136991018,81.75147160714285,1.1411086456043762,1.4155855446883823,Thermal
8,259,230.358446,5.323119269230773,2.365459391004559,25.274309768339773,0.12620504838785251,0.5018471562500071,81.77097545173746,1.1606124901989858,1.4397807522002446,Thermal
9,230,230.5763504652174,5.541023734448174,2.462290616742774,25.388582513043477,0.24047779309155715,0.956246189402765,80.19432369130436,-0.41603927023410847,-0.5161113967848189,Thermal
