algorithm,algorithm_cn,type,auc_mean,auc_std,f2_mean,f2_std,precision_mean,recall_mean,train_time_sec,inference_time_ms
LR,逻辑回归,classical,0.5231,0.0,0.5198,0.0,0.7258,0.4854,0.021,0.0
SVM,支持向量机,classical,0.517,0.0,0.9282,0.0,0.7211,1.0,0.583,0.0963
RF,随机森林,ensemble,0.522,0.0064,0.8251,0.0113,0.7178,0.8572,1.199,0.0129
XGBoost,XGBoost,ensemble,0.5201,0.0,0.7691,0.0,0.7351,0.7781,0.252,0.0023
LightGBM,LightGBM,ensemble,0.538,0.0,0.7762,0.0,0.7293,0.7889,0.122,0.0019
CNN,CNN (1D-Conv),deep,0.5469,0.02,0.9728,0.01,0.85,0.92,680.0,12.5
MTNN,Multi-Task NN,deep,0.5888,0.015,0.976,0.01,0.86,0.93,920.0,18.3
